country,vat_type,category_id,rate_type,rate_value,comment
BE,REDUCED,SUPPLY_ELECTRICITY,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XIV: the supply of electricity under residential contracts within the meaning of and under the terms of article 420, §§ 5 en 5/1 of the Programme law of 27 december 2004"
BE,REDUCED,SUPPLY_GAS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XIV: the supply of natural gas used as heating fuel under residential contracts within the meaning of and under the terms of article 420, §§ 5 en 5/1 of the Programme law of 27 december 2004"
BE,REDUCED,SUPPLY_HEATING,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XIV: the supply of heat through heating networks under residential contracts for which, with the closure of the contract in mind, a business number has not been communicated by the customer natural person"
BE,REDUCED,SUPPLY_WATER,REDUCED_RATE,6.0,"Royal Decree N°20, Table A, category XIII"
BE,REDUCED,CONSTRUCTION,REDUCED_RATE,6.0,"Under the conditions provided for in Royal Decree N° 20, Table A, categories XXXII, XXXIII, XXXVI, XXXVII and that do not fall under the mentioned exceptions (such as cleaning services (81.22.11), garden maintenance (81.30.11), …)

The reduced rate only applies to 41.00.1, 41.00.3, 43.2, 43.3, 43.9, 43.11 in that context"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, cat. XXIII, N° 2 - part of orthopedic appliances etc.
The reduced rate only applies for:
- medical and surgical support bandages in 3926 9097,3926 2000, 4014 9000, 4015 9000, 4016 1000 90, 4016 9997 90, 4017 0000, 4203, 6103 41-42-43-49, 6104 61-62-63-69, 6107 11-12-19-91-99, 6108 21-22-29, 6109, 6115, 6116, 6117 80, 6203 41-42-43-49, 6204 61-62-63-69, 6207 11-19-91-99, 6208 91 92 99, 6212 90, 6216, 6217 10, 6307 90, 6505 0090, 6506 91, 6506 9990"
BE,REDUCED,UNDERTAKERS_SERVICES,REDUCED_RATE,6.0,"The supply of coffins - Royal Decree N° 20, Table A, category XXIII, 1°

The reduced rate only applies to urns and coffins in 3926 9097 60, 3926 9097 90, 4421 9100, 4421 9910, 4421 9999 99, 6914, 7419 99, 7907"
BE,REDUCED,RENOVATION,REDUCED_RATE,6.0,"Renovation of private dwellings of more than 10 years old – under the conditions provided for in Royal Decree No. 20, Table A, category XXXI, and that do not fall under the mentioned exceptions (such as cleaning services (81.22.11), garden maintenance (81.30.11), central heating systems that use fossil fuels, including the burners and the control and monitoring devices connected to such systems,...). The reduced rate only applies to 41.00.1, 41.00.3, 43.2, 43.3, 43.9 in that context."
BE,REDUCED,PRIVATE_DWELLINGS,REDUCED_RATE,6.0,"Supply, renovation and leasing of building used for school and supervision of schoolchildren - under the conditions provided for in Royal Decree N° 20, Table A, category XL and which do not fall under the mentioned exceptions (such as cleaning services (81.22.11), …). Garden maintenance (81.30.11) is not excluded contrary to what is mentioned above. The reduced rate only applies to 41.00.1, 41.00.3, 43.2, 43.3, 43.9 in that context"
BE,REDUCED,SUSTAINABLE_ENERGY,REDUCED_RATE,6.0,A temporary reduced rate of 6% to the supply with installation of heat pumps in private dwellings younger than 10 years (01.01.2026 – 31.12.2030)
BE,REDUCED,HOUSING_PROVISION,REDUCED_RATE,6.0,"Under the conditions provided for in Royal Decree N° 20, Table A, category XXXVII, the demolition and reconstruction of private dwellings and the supply of reconstructed private dwellings, to the entire Belgian territory, to be mainly used as domicile by the builder/buyer or destined to be leased long-term (for social purposes or not) by the builder/buyer."
BE,REDUCED,WOOD_ARTICLE98,REDUCED_RATE,6.0,"Royal Decree n° 20, Table A, category VII, 12° (firewood)"
BE,REDUCED,TRANSPORT_PASSENGERS,REDUCED_RATE,6.0,"Other transport of passengers as well as their accompanying unchecked luggage and animals - Royal Decree N° 20, Table A, category XXV"
BE,REDUCED,LOAN_LIBRARIES,REDUCED_RATE,6.0,"Newspapers, periodicals and books (digital and on paper) - Royal Decree N° 20, Table A, category XIX, excluding publications consisting exclusively or mainly of advertising material and publications consisting exclusively or mainly of video content or listenable music"
BE,REDUCED,LOAN_LIBRARIES,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XIX, (…) The reduced rate only applies for 
-atlases; tourist guides and road maps; maps of cities, municipalities and the like in 4905 9100, 4905 9900
-images which are clearly intended to be pasted or affixed to albums representing a series of images and in particular indicate the sequence number assigned to them in this album and the name of the series of which they are part and icons to be fixed to a wall to report the presence of an ED in 4911 9100 90"
